id,group,group_at_test,date,height,mass,ift,x10m,x20m,dob,year,Maturity_offset,time_point,age_at_test,cutoff_year,season_start,age_sept1,age_group,max_force,rel_max_force,cmj_height,cmj_rsi,rj_ct,rj_height,rj_rsi
ETC01,u13s,NA,2024-08-29,151,43.4,17.5,2.07,3.58,2012-02-28,25_26,0.06729639867549342,August 2024,12.5,2023,2023-09-01,11,u12s,1146,26.40552995391705,25.4,0.41,170,20.3,1.2
ETC01,u13s,u12s,2024-04-04,149,41.4,16.5,2.080769230769231,3.6175,2012-02-28,25_26,-0.31851359259500406,April 2024,12.1,2023,2023-09-01,11,u12s,1222,29.516908212560388,25.4,0.42,174,28.7,1.54
ETC01,u13s,u12s,2023-11-03,145.3,37.5,NA,2.11,3.66,2012-02-28,25_26,-0.7454677740358617,Autumn 2023,11.68,2023,2023-09-01,11,u12s,956,25.493333333333332,23.5,0.49,163,23.1,1.41
ETC01,u14s,NA,2026-04-28,155.6,51.9,17,NA,NA,2012-02-28,25_26,1.365464628709473,April 2026,14.16,2025,2025-09-01,13,u14s,NA,NA,NA,NA,NA,NA,NA
ETC01,u14s,u14s,2025-09-08,154.7,47.3,18.5,1.95,3.44,2012-02-28,25_26,0.8506812413325457,September 2025,13.53,2025,2025-09-01,13,u14s,NA,NA,27.8,0.38,177,23.1,1.31
ETC01,u13s,u14s,2025-04-15,153.5,44.6,18,2.1,3.6,2012-02-28,25_26,0.617256431005396,April 2025,13.13,2024,2024-09-01,12,u14s,1490,33.408071748878925,26.9,0.36,148,17.9,1.21
ETC02,u14s,u14s,2025-09-08,161.6,44.5,19.5,2.07,3.58,2012-05-03,25_26,1.2842094795969057,September 2025,13.35,2025,2025-09-01,13,u14s,NA,NA,27.8,0.43,149,19,1.27
ETC02,u13s,u12s,2024-02-16,148,37.6,NA,2.09,3.65,2012-05-03,25_26,-0.44686887340127057,Feb 2024,11.79,2023,2023-09-01,11,u12s,946,25.159574468085104,20.7,0.33,190,13.6,0.71
ETC02,u13s,u12s,2023-11-03,146.5,34.6,NA,2.09,3.66,2012-05-03,25_26,-0.8218587383107472,Autumn 2023,11.5,2023,2023-09-01,11,u12s,927,26.791907514450866,25,0.38,186,17.8,0.95
ETC02,u13s,u12s,2024-04-05,150,37.4,15.5,2.22,3.86,2012-05-03,25_26,-0.33785442869945403,April 2024,11.92,2023,2023-09-01,11,u12s,1289,34.46524064171123,20.9,0.34,175,12.9,0.74
ETC02,u13s,u14s,2025-04-15,158.5,41.8,17,2.1,3.63,2012-05-03,25_26,NA,April 2025,12.95,2024,2024-09-01,12,u14s,1507,36.05263157894737,23.9,0.37,147,15.8,1.07
ETC03,u13s,u12s,2023-11-03,141.5,30.2,NA,2.05,3.65,2012-08-04,24_25,-1.0352990960249495,Autumn 2023,11.25,2023,2023-09-01,11,u12s,831,27.516556291390728,20.7,0.31,218,20.3,0.93
ETC03,u13s,NA,2024-08-28,145.9,35.2,16,2.15,NA,2012-08-04,24_25,-0.2951456888759038,August 2024,12.07,2023,2023-09-01,11,u12s,851,24.176136363636363,20.4,0.29,173,20.2,1.17
ETC03,u13s,u12s,2024-04-04,145,33.2,16,2.2484615384615383,3.9245,2012-08-04,24_25,-0.6221032814712666,April 2024,11.67,2023,2023-09-01,11,u12s,883,26.596385542168672,19.2,0.28,209,21.4,1.03
ETC03,u13s,u14s,2025-04-16,150.2,38.1,16.5,2.23,3.9,2012-08-04,24_25,0.27889537793232433,April 2025,12.7,2024,2024-09-01,12,u14s,902,23.674540682414698,17.8,0.21,198,20.1,1.01
ETC03,u13s,u12s,2024-02-16,142,32.4,NA,2.2,3.83,2012-08-04,24_25,-0.7566606250273245,Feb 2024,11.54,2023,2023-09-01,11,u12s,773,23.858024691358025,17.2,0.25,196,18.1,0.92
ETC04,u12s,u12s,2023-11-03,143.6,33.1,NA,2.16,3.77,2012-09-15,24_25,-1.0753843023141263,Autumn 2023,11.13,2023,2023-09-01,10,u12s,803,24.259818731117825,21.5,0.34,172,22.3,1.29
ETC05,u14s,NA,2026-04-27,163.4,57.9,19,1.94,3.65,2013-04-25,25_26,1.4529226720203852,April 2026,13.01,2025,2025-09-01,12,u14s,1383,23.8860103626943,19.3,0.31,167,21.6,1.29
